# kind nAtoms frames pass rep compute_ms
synth 1000 1 3 19 4.581
synth 1000 1 3 20 4.590
synth 2000 1 3 0 6.911
synth 2000 1 3 1 6.883
synth 2000 1 3 2 6.867
synth 2000 1 3 3 6.870
synth 2000 1 3 4 6.909
synth 2000 1 3 5 6.857
synth 2000 1 3 6 6.892
synth 2000 1 3 7 6.956
synth 2000 1 3 8 6.921
synth 2000 1 3 9 6.929
synth 2000 1 3 10 6.919
synth 2000 1 3 11 6.905
synth 2000 1 3 12 6.859
synth 2000 1 3 13 6.869
synth 2000 1 3 14 6.905
synth 2000 1 3 15 6.906
synth 2000 1 3 16 6.870
synth 2000 1 3 17 6.957
synth 2000 1 3 18 6.916
synth 2000 1 3 19 6.906
synth 2000 1 3 20 6.954
synth 4000 1 3 0 7.030
synth 4000 1 3 1 7.034
synth 4000 1 3 2 7.032
synth 4000 1 3 3 7.020
synth 4000 1 3 4 7.023
synth 4000 1 3 5 7.009
synth 4000 1 3 6 7.026
synth 4000 1 3 7 7.026
synth 4000 1 3 8 7.023
synth 4000 1 3 9 7.016
synth 4000 1 3 10 7.024
synth 4000 1 3 11 7.020
synth 4000 1 3 12 7.018
synth 4000 1 3 13 7.028
synth 4000 1 3 14 6.195
synth 4000 1 3 15 5.730
synth 4000 1 3 16 5.749
synth 4000 1 3 17 5.734
synth 4000 1 3 18 5.727
synth 4000 1 3 19 5.732
synth 4000 1 3 20 5.736
synth 8000 1 3 0 8.767
synth 8000 1 3 1 8.765
synth 8000 1 3 2 8.754
synth 8000 1 3 3 8.789
synth 8000 1 3 4 8.751
synth 8000 1 3 5 8.748
synth 8000 1 3 6 8.745
synth 8000 1 3 7 8.746
synth 8000 1 3 8 8.758
synth 8000 1 3 9 8.753
synth 8000 1 3 10 8.753
synth 8000 1 3 11 8.749
synth 8000 1 3 12 8.745
synth 8000 1 3 13 8.758
synth 8000 1 3 14 8.755
synth 8000 1 3 15 8.764
synth 8000 1 3 16 8.744
synth 8000 1 3 17 8.755
synth 8000 1 3 18 8.751
synth 8000 1 3 19 8.769
synth 8000 1 3 20 8.762
synth 16000 1 3 0 16.796
synth 16000 1 3 1 17.008
synth 16000 1 3 2 16.782
synth 16000 1 3 3 17.107
synth 16000 1 3 4 17.080
synth 16000 1 3 5 17.262
synth 16000 1 3 6 15.435
synth 16000 1 3 7 12.085
synth 16000 1 3 8 12.288
synth 16000 1 3 9 12.203
synth 16000 1 3 10 12.333
synth 16000 1 3 11 12.395
synth 16000 1 3 12 12.532
synth 16000 1 3 13 12.312
synth 16000 1 3 14 12.181
synth 16000 1 3 15 12.086
synth 16000 1 3 16 12.081
synth 16000 1 3 17 12.501
synth 16000 1 3 18 12.273
synth 16000 1 3 19 12.214
synth 16000 1 3 20 12.389
synth 32000 1 3 0 32.220
synth 32000 1 3 1 31.962
synth 32000 1 3 2 32.059
synth 32000 1 3 3 27.305
synth 32000 1 3 4 27.268
synth 32000 1 3 5 27.398
synth 32000 1 3 6 27.243
synth 32000 1 3 7 27.165
synth 32000 1 3 8 27.296
synth 32000 1 3 9 27.293
synth 32000 1 3 10 20.481
synth 32000 1 3 11 17.584
synth 32000 1 3 12 17.734
synth 32000 1 3 13 17.820
synth 32000 1 3 14 17.640
synth 32000 1 3 15 17.634
synth 32000 1 3 16 17.572
synth 32000 1 3 17 17.775
synth 32000 1 3 18 17.766
synth 32000 1 3 19 17.811
synth 32000 1 3 20 17.817
cubic 4096 1 3 0 8.380
cubic 4096 1 3 1 8.359
cubic 4096 1 3 2 8.375
cubic 4096 1 3 3 8.377
cubic 4096 1 3 4 8.386
cubic 4096 1 3 5 8.380
cubic 4096 1 3 6 8.366
cubic 4096 1 3 7 8.375
cubic 4096 1 3 8 8.366
cubic 4096 1 3 9 8.364
cubic 4096 1 3 10 8.372
cubic 4096 1 3 11 8.367
cubic 4096 1 3 12 8.373
cubic 4096 1 3 13 8.364
cubic 4096 1 3 14 8.361
cubic 4096 1 3 15 6.640
cubic 4096 1 3 16 5.370
cubic 4096 1 3 17 5.373
cubic 4096 1 3 18 5.378
cubic 4096 1 3 19 5.380
cubic 4096 1 3 20 5.381
cubic 4096 2 3 0 9.204
cubic 4096 2 3 1 9.190
cubic 4096 2 3 2 9.184
cubic 4096 2 3 3 9.197
cubic 4096 2 3 4 9.195
cubic 4096 2 3 5 9.189
cubic 4096 2 3 6 9.192
cubic 4096 2 3 7 9.210
cubic 4096 2 3 8 9.192
cubic 4096 2 3 9 9.186
cubic 4096 2 3 10 9.206
cubic 4096 2 3 11 9.191
cubic 4096 2 3 12 9.189
cubic 4096 2 3 13 9.185
cubic 4096 2 3 14 9.185
cubic 4096 2 3 15 9.193
cubic 4096 2 3 16 9.189
cubic 4096 2 3 17 9.188
cubic 4096 2 3 18 9.198
cubic 4096 2 3 19 9.186
cubic 4096 2 3 20 9.201
cubic 4096 4 3 0 14.109
cubic 4096 4 3 1 13.986
cubic 4096 4 3 2 14.081
cubic 4096 4 3 3 14.091
cubic 4096 4 3 4 14.031
cubic 4096 4 3 5 14.087
cubic 4096 4 3 6 13.546
cubic 4096 4 3 7 12.217
cubic 4096 4 3 8 12.161
cubic 4096 4 3 9 12.151
cubic 4096 4 3 10 12.304
cubic 4096 4 3 11 12.186
cubic 4096 4 3 12 12.154
cubic 4096 4 3 13 12.206
cubic 4096 4 3 14 12.195
cubic 4096 4 3 15 12.180
cubic 4096 4 3 16 12.320
cubic 4096 4 3 17 12.187
cubic 4096 4 3 18 12.267
cubic 4096 4 3 19 12.144
cubic 4096 4 3 20 12.228
cubic 4096 8 3 0 21.956
cubic 4096 8 3 1 21.955
cubic 4096 8 3 2 21.841
cubic 4096 8 3 3 21.905
cubic 4096 8 3 4 20.334
cubic 4096 8 3 5 18.260
cubic 4096 8 3 6 18.205
cubic 4096 8 3 7 17.993
cubic 4096 8 3 8 18.036
cubic 4096 8 3 9 17.964
cubic 4096 8 3 10 18.013
cubic 4096 8 3 11 18.227
cubic 4096 8 3 12 17.879
cubic 4096 8 3 13 17.989
cubic 4096 8 3 14 18.015
cubic 4096 8 3 15 15.151
cubic 4096 8 3 16 12.087
cubic 4096 8 3 17 12.068
cubic 4096 8 3 18 12.091
cubic 4096 8 3 19 12.248
cubic 4096 8 3 20 12.230
cubic 4096 11 3 0 27.272
cubic 4096 11 3 1 27.309
cubic 4096 11 3 2 27.321
cubic 4096 11 3 3 27.363
cubic 4096 11 3 4 27.354
cubic 4096 11 3 5 27.265
cubic 4096 11 3 6 19.454
cubic 4096 11 3 7 15.019
cubic 4096 11 3 8 15.028
cubic 4096 11 3 9 15.035
cubic 4096 11 3 10 15.037
cubic 4096 11 3 11 14.958
cubic 4096 11 3 12 15.003
cubic 4096 11 3 13 14.997
cubic 4096 11 3 14 15.038
cubic 4096 11 3 15 15.004
cubic 4096 11 3 16 14.972
cubic 4096 11 3 17 15.011
cubic 4096 11 3 18 15.014
cubic 4096 11 3 19 15.024
cubic 4096 11 3 20 15.037
synth 1000 1 4 0 4.624
synth 1000 1 4 1 4.569
synth 1000 1 4 2 4.571
synth 1000 1 4 3 4.567
synth 1000 1 4 4 4.575
synth 1000 1 4 5 4.573
synth 1000 1 4 6 4.586
synth 1000 1 4 7 4.572
synth 1000 1 4 8 4.580
synth 1000 1 4 9 4.571
synth 1000 1 4 10 4.586
synth 1000 1 4 11 4.582
synth 1000 1 4 12 4.572
synth 1000 1 4 13 4.570
synth 1000 1 4 14 4.569
synth 1000 1 4 15 4.568
synth 1000 1 4 16 4.573
synth 1000 1 4 17 4.573
synth 1000 1 4 18 4.558
synth 1000 1 4 19 4.560
synth 1000 1 4 20 4.583
synth 2000 1 4 0 6.922
synth 2000 1 4 1 6.916
synth 2000 1 4 2 6.956
synth 2000 1 4 3 6.918
synth 2000 1 4 4 6.920
synth 2000 1 4 5 6.900
synth 2000 1 4 6 6.902
synth 2000 1 4 7 6.871
